name,sale_price,speed,url
Saint Laurent 2017 Small Sac de Jour Love,2595,"",https://www.therealreal.com/products/women/handbags/totes/saint-laurent-2017-small-sac-de-jour-love-1
Kate Spade New York Knightsbridge James Tote,95,"",https://www.therealreal.com/products/women/handbags/totes/kate-spade-new-york-knightsbridge-james-tote-1
Thom Browne Mrs. Thom Doctor Bag,995,"",https://www.therealreal.com/products/women/handbags/handle-bags/thom-browne-mrs-thom-doctor-bag
ZAC Zac Posen Eartha Faux Pearl Satchel,275,"",https://www.therealreal.com/products/women/handbags/satchels/zac-zac-posen-eartha-soft-top-handle-bag
Louis Vuitton Monogram Fetish Lockit BB Bag,1025,"",https://www.therealreal.com/products/women/handbags/mini-bags/louis-vuitton-monogram-fetish-lockit-bb-bag-3
Chloé Sally Shoulder Bag,245,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/chloe-sally-shoulder-bag-9
Lanvin Quilted Leather Tote,375,"",https://www.therealreal.com/products/women/handbags/totes/lanvin-quilted-leather-tote-10
Anya Hindmarch Lacing Python Hobo Bag,275,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/anya-hindmarch-lacing-python-hobo-bag
Rebecca Minkoff Nylon Tote Bag,75,"",https://www.therealreal.com/products/women/handbags/totes/rebecca-minkoff-nylon-tote-bag-1
Chanel Vintage Patent CC Duffle Bag,2080,"",https://www.therealreal.com/products/women/handbags/satchels/chanel-vintage-patent-cc-duffle-bag-1
Chanel Python Quilted Flap Bag,3800,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/chanel-crochet-python-quilt-flap-bag
Jimmy Choo Candy Clutch,375,"",https://www.therealreal.com/products/women/handbags/clutches/jimmy-choo-candy-clutch-55
Jimmy Choo Shimmer Python Tom Clutch,225,"",https://www.therealreal.com/products/women/handbags/clutches/jimmy-choo-shimmer-python-tom-clutch-1
3.1 Phillip Lim Nashiki Zip Clutch,65,"",https://www.therealreal.com/products/women/handbags/clutches/3-dot-1-phillip-lim-nashiki-zip-clutch-2
Fendi Pleated Shoulder Bag,145,"",https://www.therealreal.com/products/women/handbags/hobos/fendi-pleated-shoulder-bag
Fendi Zucchino Canvas Baguette,95,"",https://www.therealreal.com/products/women/handbags/shoulder-bags/fendi-zuchinno-canvas-baguette-4
Fendi Zucca Tote Bag,425,"",https://www.therealreal.com/products/women/handbags/totes/fendi-zucca-tote-bag-6
Rosie Assoulin Oil Slick Sculptural Earrings,425,"",https://www.therealreal.com/products/jewelry/earrings/drop/rosie-assoulin-oil-slick-sculptural-earrings
Yves Saint Laurent Leaf Cuff Bracelet,575,"",https://www.therealreal.com/products/jewelry/bracelets/cuff/yves-saint-laurent-leaf-cuff-bracelet
14K Cutout Link Bracelet,275,"",https://www.therealreal.com/products/jewelry/bracelets/link/14k-cut-out-link-bracelet
Charriol Colvmbvs Watch,325,"",https://www.therealreal.com/products/watches/charriol-colvmbvs-watch-37
Michael Michael Kors Madison Watch,125,"",https://www.therealreal.com/products/watches/bracelet/michael-michael-kors-madison-watch-1
Michael Kors Mini Dylan Watch,95,"",https://www.therealreal.com/products/watches/strap/michael-kors-mini-dylan-watch-1
Tiffany & Co. 14K Rope Chain Bracelet,895,"",https://www.therealreal.com/products/jewelry/bracelets/link/tiffany-and-co-14k-rope-chain-bracelet-3
Nak Armstrong 18K Moonstoe & Aquamarine Drop Earrings,2995,"",https://www.therealreal.com/products/jewelry/earrings/drop/nak-armstrong-18k-rainbow-moonste-and-aquamarine-drop-earrings
Pomellato 18K Nudo Petit Lemon Quartz Ring,875,"",https://www.therealreal.com/products/jewelry/rings/cocktail-ring/pomellato-18k-petit-nudo-lemon-quartz-ring
18K X Link Bracelet,1725,"",https://www.therealreal.com/products/jewelry/bracelets/link/18k-x-link-bracelet
14K Tassel Necklace,3895,"",https://www.therealreal.com/products/jewelry/necklaces/lavalier/14k-tassel-chain-necklace
Tiffany & Co. Diamond Etoile Hoop Earrings,1495,"",https://www.therealreal.com/products/jewelry/earrings/hoop/tiffany-and-co-diamond-etoile-hoop-earrings-1
Cartier Tank Française Watch,7295,"",https://www.therealreal.com/products/watches/bracelet/cartier-tank-francaise-watch-2821
Rolex Air-King Watch,2195,"",https://www.therealreal.com/products/watches/bracelet/rolex-air-king-watch-14010-24
Cartier Lanieres Watch,4295,"",https://www.therealreal.com/products/watches/bracelet/cartier-lanieres-watch-5
Rolex Oysterdate Watch,1695,"",https://www.therealreal.com/products/watches/strap/rolex-oysterdate-watch-6482
Van Cleef & Arpels La Collection Watch,1895,"",https://www.therealreal.com/products/watches/strap/van-cleef-and-arpels-la-collection-watch-34-35
Van Cleef & Arpels Alhambra Watch,9495,"",https://www.therealreal.com/products/watches/bracelet/van-cleef-and-arpels-alhambra-watch-9
